pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,laua,ward,hlthau,hro,ctry,gor,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd
"AB1 0AA","AB1  0AA","AB1 0AA","198001","199606","0","385386","0801193","1","S00090303","S99999999","S12000033","S13002484","S08000020","S99999999","S92000003","S99999999","S14000002","S15000001","S09000001","S22000047","S03000012","S31000935","S99999999","S01006514","S02001237","S99999999","S03000012","S99999999","S99999999","3","1C3",57.101474,-2.242851,"S99999999","S99999999","S23000009",0
"AB1 0AB","AB1  0AB","AB1 0AB","198001","199606","0","385177","0801314","1","S00090303","S99999999","S12000033","S13002484","S08000020","S99999999","S92000003","S99999999","S14000002","S15000001","S09000001","S22000047","S03000012","S31000935","S99999999","S01006514","S02001237","S99999999","S03000012","S99999999","S99999999","3","1C3",57.102554,-2.246308,"S99999999","S99999999","S23000009",0
"AB1 0AD","AB1  0AD","AB1 0AD","198001","199606","0","385053","0801092","1","S00090399","S99999999","S12000033","S13002484","S08000020","S99999999","S92000003","S99999999","S14000002","S15000001","S09000001","S22000047","S03000012","S31000934","S99999999","S01006514","S02001237","S99999999","S03000012","S99999999","S99999999","3","6A1",57.100556,-2.248342,"S99999999","S99999999","S23000009",0
"AB1 0AE","AB1  0AE","AB1 0AE","199402","199606","0","384600","0799300","8","S00091322","S99999999","S12000034","S13002505","S08000020","S99999999","S92000003","S99999999","S14000058","S15000001","S09000001","S22000047","S03000013","S31001005","S99999999","S01006853","S02001296","S99999999","S03000013","S99999999","S99999999","6","1A2",57.084444,-2.255708,"S99999999","S99999999","S23000009",0
"AB1 0AF","AB1  0AF","AB1 0AF","199012","199207","1","384460","0800660","8","S00090299","S99999999","S12000033","S13002484","S08000020","S99999999","S92000003","S99999999","S14000002","S15000001","S09000001","S22000047","S03000012","S31000934","S99999999","S01006511","S02001236","S99999999","S03000012","S99999999","S99999999","3","6A4",57.096656,-2.258102,"S99999999","S99999999","S23000009",0
"AB1 0AG","AB1  0AG","AB1 0AG","199012","199207","1","383890","0800710","8","S00090291","S99999999","S12000033","S13002484","S08000020","S99999999","S92000003","S99999999","S14000002","S15000001","S09000001","S22000047","S03000012","S31000934","S99999999","S01006506","S02001236","S99999999","S03000012","S99999999","S99999999","3","7C3",57.097085,-2.267513,"S99999999","S99999999","S23000009",0
"AB1 0AJ","AB1  0AJ","AB1 0AJ","198001","199606","0","384779","0800921","1","S00090399","S99999999","S12000033","S13002484","S08000020","S99999999","S92000003","S99999999","S14000002","S15000001","S09000001","S22000047","S03000012","S31000934","S99999999","S01006514","S02001237","S99999999","S03000012","S99999999","S99999999","3","6A1",57.099011,-2.252854,"S99999999","S99999999","S23000009",0
"AB1 0AL","AB1  0AL","AB1 0AL","198001","199606","0","384669","0801228","1","S00090381","S99999999","S12000033","S13002484","S08000020","S99999999","S92000003","S99999999","S14000002","S15000001","S09000001","S22000047","S03000012","S31000934","S99999999","S01006511","S02001236","S99999999","S03000012","S99999999","S99999999","3","6B3",57.101765,-2.254688,"S99999999","S99999999","S23000009",0
"AB1 0AN","AB1  0AN","AB1 0AN","198001","199606","1","385225","0800757","1","S00090399","S99999999","S12000033","S13002484","S08000020","S99999999","S92000003","S99999999","S14000002","S15000001","S09000001","S22000047","S03000012","S31000934","S99999999","S01006514","S02001237","S99999999","S03000012","S99999999","S99999999","3","6A1",57.097553,-2.245483,"S99999999","S99999999","S23000009",0
"AB1 0AP","AB1  0AP","AB1 0AP","198001","199606","0","385208","0800834","1","S00090399","S99999999","S12000033","S13002484","S08000020","S99999999","S92000003","S99999999","S14000002","S15000001","S09000001","S22000047","S03000012","S31000934","S99999999","S01006514","S02001237","S99999999","S03000012","S99999999","S99999999","3","6A1",57.098244,-2.245768,"S99999999","S99999999","S23000009",0
"AB1 0AQ","AB1  0AQ","AB1 0AQ","198001","199606","0","384800","0800870","8","S00090399","S99999999","S12000033","S13002484","S08000020","S99999999","S92000003","S99999999","S14000002","S15000001","S09000001","S22000047","S03000012","S31000934","S99999999","S01006514","S02001237","S99999999","S03000012","S99999999","S99999999","3","6A1",57.098554,-2.252504,"S99999999","S99999999","S23000009",0
"AB1 0AR","AB1  0AR","AB1 0AR","198001","199606","0","386474","0800063","1","S00092401","S99999999","S12000034","S13002505","S08000020","S99999999","S92000003","S99999999","S14000058","S15000001","S09000001","S22000047","S03000013","S31001005","S99999999","S01006853","S02001296","S99999999","S03000013","S99999999","S99999999","6","1A1",57.091357,-2.224831,"S99999999","S99999999","S23000009",0
"AB1 0AS","AB1  0AS","AB1 0AS","198001","199606","0","385889","0799228","1","S00092401","S99999999","S12000034","S13002505","S08000020","S99999999","S92000003","S99999999","S14000058","S15000001","S09000001","S22000047","S03000013","S31001005","S99999999","S01006853","S02001296","S99999999","S03000013","S99999999","S99999999","6","1A1",57.083838,-2.234437,"S99999999","S99999999","S23000009",0
"AB1 0AT","AB1  0AT","AB1 0AT","198001","199606","0","385568","0799837","1","S00092401","S99999999","S12000034","S13002505","S08000020","S99999999","S92000003","S99999999","S14000058","S15000001","S09000001","S22000047","S03000013","S31001005","S99999999","S01006853","S02001296","S99999999","S03000013","S99999999","S99999999","6","1A1",57.089299,-2.239768,"S99999999","S99999999","S23000009",0
"AB1 0AX","AB1  0AX","AB1 0AX","198001","199606","0","385079","0800549","1","S00092401","S99999999","S12000034","S13002505","S08000020","S99999999","S92000003","S99999999","S14000058","S15000001","S09000001","S22000047","S03000013","S31001005","S99999999","S01006853","S02001296","S99999999","S03000013","S99999999","S99999999","6","1A1",57.095679,-2.247880,"S99999999","S99999999","S23000009",0
